Pressure (V),Centroid (Ch),FWHM (Ch),Rate (cps)
0.001,915.25,3.8239,21.53
0.2124,889.07,6.8142,21.74
0.4061,866.15,8.0996,21.44
0.6029,841.53,10.0639,21.16
0.8069,816.05,10.8125,21.18
1.0107,789.84,12.1453,21.09
1.2065,763.95,13.4915,20.03
1.4066,738.58,12.8971,19.9
1.6012,711.33,14.8459,19.43
1.8055,682.81,16.9949,19.23
2.0079,654.19,16.6965,19.32
2.2075,625.1,17.1167,19.53
2.4074,594.63,19.7752,18.75
2.6032,564.85,18.6562,18.56
2.8219,530.07,19.9703,18.9
3.0053,499.57,20.3857,19.17
3.2049,465.84,21.8057,18.63
3.406,428.61,25.18,18.46
3.5992,393.42,24.1421,18.11
3.8008,353.08,27.6865,18.69
4.0185,307.3,27.7039,18.6
4.1471,278.87,31.1657,18.39
4.2992,242.96,32.2305,18.44
4.4537,202.14,38.2033,17.39
4.6041,160.52,39.8211,18.11
4.7006,130.15,44.0423,17.49
4.8018,98.86,48.5838,17.49
4.9098,65.06,41.8687,17.15
4.9577,51.6,38.6874,17.04
5.0035,38.66,36.8176,16.44
5.0496,27.77,34.5162,16.37
5.1016,17.26,29.1815,14.37
5.1486,10.31,23.8199,10.26
5.1977,8.04,16.6241,4.686
5.251,6.73,13.0845,1.146
5.2934,8.51,8.088,0.326
